"sex","age","address","famsize","Pstatus","Medu","Fedu","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","absences","G3"
1,17,0,0,0,4,2,0,3,0,0,1,1,1,1,1,1,0,3,1,2,0,0,3,6,13
1,18,1,1,0,4,4,2,1,0,0,1,1,0,0,1,1,1,2,1,1,3,1,4,10,11
1,16,0,0,0,4,4,0,1,0,0,1,1,0,1,1,1,0,3,4,1,0,1,2,0,10
0,15,0,1,0,2,2,0,0,0,0,1,1,0,1,1,1,0,3,1,1,0,1,4,2,11
1,17,1,0,0,2,2,0,2,0,0,1,1,1,1,1,1,0,2,2,1,1,1,2,3,11
1,19,1,1,1,3,1,0,2,1,0,0,1,0,1,1,0,0,4,3,2,0,1,4,12,13
0,15,1,1,0,3,2,1,1,2,1,1,0,0,1,1,1,1,3,3,3,0,3,2,6,7
0,15,0,1,0,4,4,1,1,0,0,1,0,1,1,1,0,0,3,3,2,0,0,1,2,14
0,15,0,0,1,3,2,0,1,0,0,1,1,0,1,1,1,0,3,1,1,0,0,0,0,19
0,18,0,0,1,4,4,0,1,0,0,1,1,1,1,1,1,0,4,3,2,0,0,1,9,15
0,16,0,1,0,2,1,2,0,0,0,0,0,0,1,1,1,0,3,2,2,0,0,3,6,18
0,18,0,0,0,2,1,3,1,0,1,1,1,1,1,1,1,1,3,2,1,3,4,2,14,9
1,17,1,1,0,4,4,1,1,0,0,1,1,1,1,1,1,0,3,2,2,0,1,4,4,13
0,16,0,1,0,3,2,1,0,1,0,1,0,1,0,0,0,0,3,4,1,0,0,1,16,12
0,18,0,0,0,1,3,0,0,1,0,0,0,0,1,0,1,1,3,2,2,1,2,2,7,8
1,18,1,0,0,4,4,1,2,0,0,0,0,0,1,1,1,0,4,3,3,0,0,0,0,19
0,16,1,1,0,2,1,1,0,0,0,0,0,1,0,1,0,0,2,2,1,0,2,2,0,8
0,16,0,1,0,2,3,1,0,0,0,0,0,0,1,1,1,0,4,2,2,0,0,2,0,14
1,17,0,0,0,0,2,1,2,0,0,0,0,0,1,1,1,0,2,2,2,1,2,1,0,15
0,16,0,1,0,3,2,0,0,0,0,1,1,0,0,1,1,0,4,3,2,0,0,4,0,15
1,16,0,0,1,3,3,0,1,0,0,1,0,0,1,1,1,0,1,2,4,0,3,2,12,11
1,16,0,1,0,2,3,0,1,0,1,1,1,1,1,1,0,0,3,3,2,0,2,3,6,10
0,15,1,1,0,2,1,0,1,0,0,0,0,1,1,1,1,1,4,3,1,0,0,4,8,9
1,19,0,1,0,3,3,0,1,2,0,1,1,1,1,1,1,0,3,2,4,2,2,4,15,9
1,18,1,1,1,3,2,1,1,0,0,0,0,0,0,0,1,1,3,0,0,0,0,4,75,9
1,19,0,1,0,2,1,2,1,0,0,1,0,0,1,0,1,1,2,3,0,0,0,1,20,13
0,15,0,1,0,4,4,0,0,0,0,1,0,1,0,1,1,0,4,2,2,0,0,4,4,14
0,17,1,1,0,2,2,3,0,0,0,1,0,0,1,1,1,0,3,3,4,4,4,3,8,10
1,16,0,1,0,4,4,0,0,0,0,0,0,1,0,1,1,0,4,2,3,0,1,0,6,14
1,18,0,0,1,4,4,0,1,0,0,1,0,0,1,1,1,1,3,1,3,0,0,3,14,11
1,15,0,1,0,3,2,1,1,0,1,1,1,0,1,1,1,0,3,2,4,0,0,1,26,6
1,17,0,0,0,4,4,0,1,0,0,1,1,1,1,1,1,1,1,2,3,0,0,0,0,15
0,15,0,1,0,2,2,0,3,0,0,1,1,1,1,1,1,0,4,4,3,0,1,4,6,15
0,16,0,1,0,4,4,0,1,0,0,1,1,1,1,1,1,1,3,3,4,4,4,4,16,11
0,17,1,1,0,2,1,0,0,0,0,0,0,0,0,1,1,0,3,3,1,1,3,4,0,12
0,16,1,1,1,4,4,1,2,0,0,1,0,1,1,1,1,1,1,3,2,0,0,4,7,15
1,19,0,1,0,0,1,0,1,3,0,1,0,0,0,0,0,0,2,3,1,0,0,4,2,9
1,17,0,0,0,2,2,0,0,0,0,1,0,0,1,1,1,1,2,3,3,0,2,4,12,12
1,17,0,1,0,3,1,0,2,0,0,1,0,0,0,1,1,0,2,3,2,1,2,4,1,15
1,17,0,1,0,4,4,1,0,1,0,1,0,0,1,1,1,0,3,1,3,1,2,1,24,18
1,15,0,1,0,4,4,0,1,0,0,1,1,0,1,1,1,0,2,2,2,0,1,1,0,9
0,18,1,1,0,3,2,0,2,0,0,0,0,1,0,1,0,0,4,2,1,0,0,2,1,12
0,19,0,1,0,4,4,1,0,1,0,1,1,0,1,1,1,1,3,2,3,0,0,3,38,8
1,16,0,1,0,3,1,0,3,0,1,1,1,0,1,1,1,0,3,2,2,0,1,4,4,6
1,16,0,1,0,3,3,0,2,0,0,1,1,0,1,1,1,1,3,2,2,0,2,3,0,8
0,17,0,1,0,3,3,0,0,0,0,1,1,0,1,1,1,0,3,3,2,0,2,4,4,11
0,17,0,1,0,2,1,1,0,3,1,1,0,1,1,0,1,0,3,4,0,0,0,2,2,10
1,17,0,1,0,1,1,0,2,0,0,1,1,0,1,1,1,0,3,2,2,0,0,2,6,12
1,18,0,1,0,2,2,0,2,0,0,1,1,0,1,1,1,0,3,2,2,0,1,1,5,19
0,15,0,1,1,2,2,0,2,0,0,1,0,0,1,1,1,1,3,4,1,0,0,2,0,16
1,17,0,1,0,2,2,0,1,0,0,1,0,0,1,1,0,1,3,1,1,0,0,2,12,9
1,17,0,1,1,3,3,0,1,0,0,1,0,0,0,1,1,1,2,2,2,0,2,2,6,9
0,15,0,0,0,2,2,0,3,0,0,1,0,1,1,1,1,0,3,2,3,0,0,3,6,14
0,16,0,0,0,2,1,0,1,0,0,0,1,1,1,1,1,1,3,1,2,0,1,4,0,15
0,16,1,1,0,4,4,0,0,0,0,0,1,1,1,1,1,0,2,4,4,1,4,3,8,18
0,16,0,1,0,4,4,0,0,0,0,0,0,1,1,1,1,0,4,2,1,0,1,4,0,12
1,16,0,1,1,3,4,0,0,0,0,0,0,0,1,1,1,0,2,1,0,0,3,4,16,11
0,17,0,0,0,4,4,1,0,0,0,0,1,0,1,1,1,0,3,0,0,1,1,4,0,10
1,16,0,1,1,3,1,0,1,3,0,1,1,0,1,1,1,0,1,2,2,1,1,3,5,7
